🇨🇳｜快了向前冲频道,#genre#
山东综艺1,http://27.210.87.23:1029/udp/239.253.254.159:8000
山东综艺2,http://qingdao.haifangcn.com:9901/tsfile/live/1003_1.m3u8
山东综艺3,http://144.255.40.46:4022/udp/239.21.1.177:5002
山东综艺4,http://221.2.146.228:8888/newlive/live/hls/52/live.m3u8
山东综艺5,http://livealone.iqilu.com/iqilu/zypdhjOF03kn.flv
山东综艺6,http://182.32.160.19:9997/udp/239.21.1.55:5002
山东综艺7,http://home.huaz.site:4000/udp/239.21.1.55:5002
山东综艺8,http://27.223.142.173:4022/udp/239.253.254.159:8000
山东综艺9,http://119.166.7.60:6666/udp/239.253.254.159:8000
山东综艺10,http://39.77.3.5:8989/udp/239.253.254.159:8000
山东综艺11,http://182.38.178.100:4000/udp/239.21.1.55:5002
